name,institucion,provincia,pais
"Abba, Agustín M.","Centro de Estudios Parasitológicos y de Vectores (CEPAVE), Universidad Nacional de La Plata - CONICET","Buenos Aires",Argentina
"Abranson, Raúl","Parque Provincial Salto Encantado, Ministerio de Ecología y Recursos Naturales Renovables, Gobierno de la Provincia de Misiones",Misiones,Argentina
"Abuin, Rafael","The Conservation Land Trust Argentina (CLT), Mercedes",Corrientes,Argentina
"Acebes, Pablo","Universidad Autónoma de Madrid",,España
"Agostini, Ilaria","Instituto de Biología Subtropical (IBS), CONICET-Universidad Nacional de Misiones y Centro de Investigaciones del Bosque Atlántico (CeIBA), Puerto Iguazú",Misiones,Argentina
"Agüero, Alejandro J.","Departamento Académico de Ciencias Exactas, Físicas y Naturales (DACEFyN), Universidad Nacional de La Rioja, Chamical","La Rioja",Argentina
"Álamo Iriarte, Ana Paula","EEA-Anguil, Instituto Nacional de Tecnología Agropecuaria (INTA)","La Pampa",Argentina
"Albanese, M. Soledad","Instituto Argentino de Investigaciones de las Zonas Áridas (IADIZA), CCT Mendoza - CONICET",Mendoza,Argentina
"Albanesi, Sebastián","Instituto de Biodiversidad Neotropical, Universidad Nacional de Tucumán - CONICET, Yerba Buena",Tucumán,Argentina
"Albrecht, Christian D.","Departamento Académico de Ciencias Exactas, Físicas y Naturales (DACEFyN), Universidad Nacional de La Rioja","La Rioja",Argentina
"Alcalde, Ana Sofía","Instituto de Ecorregiones Andinas (INECOA), Universidad Nacional de Jujuy - CONICET, S.S. de Jujuy",Jujuy,Argentina
"Alderete, Edgar",,,Argentina
"Alonso Roldán, Virginia","Grupo de Investigación en Gestión, Economía y Desarrollo Territorial (GEDT), Facultad Regional de Chubut, Universidad Tecnológica Nacional, Puerto Madryn",Chubut,Argentina
"Alveira, Mariela","Programa SIPAP, Secretaria de Ambiente y Desarrollo Sustentable de Salta",Salta,Argentina
"Amoroso, Ariel","Reserva El Potrero, Gualeguaychú","Entre Ríos",Argentina
"Anderson, Christopher B.","Centro Austral de Investigaciones Científicas y Técnicas (CADIC-CONICET) e Instituto de Ciencias Polares, Ambiente y Recursos Naturales (ICPA), Universidad Nacional de Tierra del Fuego (UNTDF), Ushuaia","Tierra del Fuego",Argentina
"Andrade, Analía","Instituto Patagónico de Ciencias Sociales y Humanas, CCT-CENPAT-CONICET, Puerto Madryn",Chubut,Argentina
"Apellaniz, Melisa","Dirección Nacional de Fauna y Conservación de la Biodiversidad, Secretaría de Ambiente y Desarrollo Sustentable de la Nación",CABA,Argentina
"Aprile, Gustavo","Asociación para la Conservación y Estudio de la Naturaleza (ACEN)","Buenos Aires",Argentina
"Aquino, Jesica","Grupo de Genética y Ecología en Conservación y Biodiversidad (GECOBI), Museo Argentino de Ciencias Naturales Bernardino Rivadavia-CONICET",CABA,Argentina
"Argoitia, María Antonella","Departamento de Biología, Facultad de Ciencias Exactas, Naturales y Agrimensura, Universidad Nacional del Nordeste (UNNE) y CONICET, Corrientes",Corrientes,Argentina
"Arias, Magdalena","Grupo de Investigación en Mamíferos Marinos del Golfo San Matías, Centro de Investigación Aplicada y Transferencia Tecnológica en Recursos Marinos Almirante Storni (CIMAS-CONICET)","Río Negro",Argentina
"Arrabal, Juan Pablo","Instituto Nacional de Medicina Tropical (INMET) y Centro de Investigaciones del Bosque Atlántico (CeIBA), Puerto Iguazú",Misiones,Argentina
"Arzamendia, Yanina","VICAM, Instituto de Ecorregiones Andinas (INECOA-CONICET) y Universidad Nacional de Jujuy, S.S. de Jujuy",Jujuy,Argentina
"Aschero, Valeria","Instituto Argentino de Nivología, Glaciolocía y Ciencias Ambientales (IANIGLA), CCT Mendoza - CONICET",Mendoza,Argentina
"Aued, Betina","Parque Nacional San Guillermo, Administración de Parques Nacionales","San Juan",Argentina
"Austrich, Ailin","Instituto de Investigaciones Marinas y Costeras (IIMyC), Facultad de Ciencias Exactas y Naturales, Universidad Nacional de Mar del Plata - CONICET, Mar del Plata","Buenos Aires",Argentina
"Autino, Analía G.","Programa de Investigaciones de Biodiversidad Argentina (PIDBA), Instituto Miguel Lillo, Universidad Nacional de Tucumán-CONICET, Programa de Conservación de los Murciélagos de Argentina (PCMA) y Fundación Miguel Lillo",Tucumán,Argentina
"Ayarragaray, Matías","Area de Zoología, Facultad de Química, Bioquímica y Farmacia, Universidad Nacional de San Luis","San Luis",Argentina
"Baigún, Román","Fundación Humedales",CABA,Argentina
"Baldo, Jorge L.","VICAM, Instituto de Ecorregiones Andinas (INECOA-CONICET) y Universidad Nacional de Jujuy, S.S. de Jujuy",Jujuy,Argentina
"Baldovino, María Celia","Instituto de Biología Subtropical (IBS), CONICET-Universidad Nacional de Misiones y Centro de Investigaciones del Bosque Atlántico (CeIBA), Puerto Iguazú",Misiones,Argentina
"Ballari, Sebastián A.","CENAC-APN, Parque Nacional Nahuel Huapi-CONICET, Bariloche","Río Negro",Argentina
"Barandiaran, Soledad","Facultad de Veterinaria, Universidad de Buenos Aires - CONICET",CABA,Argentina
"Bardavid, Sofía","Instituto de Ecorregiones Andinas (INECOA), Universidad Nacional de Jujuy - CONICET, S.S. de Jujuy",Jujuy,Argentina
"Bareiro, Ricardo","Dirección General de Bosques y Fauna, Ministerio de la Producción y Recursos Naturales de la Provincia de Santiago del Estero","Santiago del Estero",Argentina
"Bárquez, Rubén M.","Programa de Investigaciones de Biodiversidad Argentina (PIDBA), Instituto Miguel Lillo, Universidad Nacional de Tucumán-CONICET y Programa de Conservación de los Murciélagos de Argentina (PCMA)",Tucumán,Argentina
"Barreto, Paulo Andrés","Centro de Ecología Aplicada del Litoral",Corrientes,Argentina
"Barri, Fernando","Instituto de Diversidad y Ecología Animal (IDEA), CONICET-Universidad Nacional de Córdoba",Córdoba,Argentina
"Barrios-García, M. Noelia","CENAC-APN, Parque Nacional Nahuel Huapi-CONICET, Bariloche","Río Negro",Argentina
"Barros, Agustina","Instituto Argentino de Nivología, Glaciolocía y Ciencias Ambientales (IANIGLA), CCT Mendoza - CONICET",Mendoza,Argentina
"Barros, Mariano S.","Fundación Biodiversidad Argentina",CABA,Argentina
"Bastida, Ricardo","Instituto de Investigaciones Marinas y Costeras (IIMyC), Facultad de Ciencias Exactas y Naturales, Universidad Nacional de Mar del Plata-CONICET","Buenos Aires",Argentina
"Beade, Mario Santos","Parque Nacional Campos del Tuyú, Administración de Parques Nacionales, General Lavalle","Buenos Aires",Argentina
"Becerra, Federico","Grupo Morfología Funcional y Comportamiento, Instituto de Investigaciones Marinas y Costeras, Universidad Nacional de Mar del Plata - CONICET","Buenos Aires",Argentina
"Benítez, Verónica","Instituto de Ecología y Desarrollo Sustentable (INEDES), Universidad Nacional de Luján - CONICET","Buenos Aires",Argentina
"Bercê, Williams","Instituto de Biociencias, Universidad Estadual de Sao Paulo (UNESP)",,Brasil
"Birochio, Diego","Centro de Investigaciones y Transferencia de Río Negro, Universidad Nacional de Rio Negro - CONICET, Viedma","Río Negro",Argentina
"Bisceglia, Silvina",Independiente,CABA,Argentina
"Bó, Roberto F.","Grupo de Investigación en Ecología de Humedales (GIEH), Instituto de Ecología, Genética y Evolución de Buenos Aires, Universidad Nacional de Buenos Aires-CONICET y Facultad de Ciencias Exactas y Naturales (FCEyN, UBA)",CABA,Argentina
